loan_id,customer_id,loan_amount,interest_rate,start_date
LON5MGCII5373XC,CUSS55L6IBDIVKO,271792.93,4.13,2/18/2025
LONY5936PGWSZ5S,CUS3T66P79LZV36,59204.81,10.73,11/23/2021
LON96SRYPZ9ADMJ,CUSD6YU1DZQIONB,113036.9,4.25,4/8/2024
LONBJRKDZVF2L2J,CUSWQGTTR6IKO7G,298985.5,5.98,10/18/2025
LONSMGNHZ18A8QX,CUSJX4X3X91Z4Z5,108087.72,4.48,8/3/2023
LONI2IEZFPDNYGA,CUSJ4RU2RB8SXPH,58661.58,3.47,12/21/2023
LON2QKJL8IV52FJ,CUS2YPZ9GO006BJ,297084.6,5.89,11/5/2023
LON2RW6AZWRD1K5,CUS931E6EZRXUT7,169452.37,3.42,5/13/2024
LONS0WKRUDEXXMU,CUS3JDA0HXV2ZOT,210269.66,3.35,10/29/2020
LONI09K6Y1U095D,CUS12FZD76HOVN9,224078.19,2.7,8/29/2024
LONT7NMXUC6LLIJ,CUSWCIN0K5FC34S,70109.87,10.51,2/29/2024
LONS0JQZCUC539C,CUS2D1FK9N44IRQ,112995.06,4.36,4/18/2024
LONQ6ALZH56P665,CUSNTFZLFD94X6O,111648.99,14.81,9/11/2025
LONS0QS0BBJ6O29,CUSBLN5APG425CD,51925.69,7.63,7/17/2022
LONO5H97RNUFMO0,CUS02KMCC55LDD6,285217.74,6.4,2/4/2019
LONL6YTGC4CXSVI,CUSMNJMTWBIV6K2,95372.29,7.85,5/11/2022
LON4SWH9I4FAC4D,CUSXMHR7WEWND9Y,216684.16,2.04,12/10/2021
LONM4ZSLZMFEZ1A,CUSOUNN9YTYRY6F,165383.2,14.48,8/10/2021
LON82BGH56Z8I1W,CUSILPLSOS0I9MY,118728.89,10.41,10/2/2024
LONRTZ1X3OG8Y5Q,CUSD4MBMPNHUW85,265513.15,11.33,12/6/2024
LONY7L9VXRJIN74,CUSZ9L0ILJR70FM,166262.35,4.94,5/6/2021
LONWGZZJLMW4D6E,CUSLWTKS44VEZZV,256170.19,9.61,4/17/2022
LONNFKTXUQ3M8QG,CUSWXPLJ7J53EXS,209573.34,4.98,7/14/2019
LONNUKVFTO5R8FH,CUSHS52HPYPHFQG,253683.24,7.38,4/3/2019
LONZJ6OX7JBN6KY,CUS958P4928TWHW,191919,3.56,12/20/2019
LONBB4R2GAFTSD6,CUSFP2VV6RBG90I,205921.95,10.57,11/17/2020
LONF9YWYNHUVTL8,CUSKTX7OP2XVCIR,123100.4,5.24,5/28/2021
LONMYGSTIFBP2EK,CUSQ64HIU58QOZ5,167941.92,11.89,9/5/2024
LONH3HWA0ZDQECH,CUSLOO9C0757W8V,16960.21,5.36,1/17/2025
LONP2BR3J8ML8LM,CUSICNT4F147QJQ,2757.77,13.36,3/18/2019
LONNU9LV8DSKO3I,CUSF45562YQ2WID,5616.77,11.05,9/30/2024
LONQCKDJLCXSDC1,CUSAM0GHOY50RTW,252463.1,4.93,1/16/2019
LON8Q5KFHM3322J,CUS9X4IBLLNPA7E,159137.36,13.86,12/24/2019
LONS12VCTNSOHLZ,CUSFAG2HBDLW7WE,244105.1,12.11,7/12/2020
LONJH60Q67JUE9P,CUS2NKXME38ERZR,110477.64,10.05,8/1/2024
LONQIU1Q0GKJ68V,CUSFH3XDVQ8PKD2,4012.73,9.97,12/23/2025
LONEJ0DQJ3T44XV,CUSDCDV84QVIVBS,15359.52,10.85,3/10/2022
LONPXJUJ5XV1QJR,CUS8LWI8AW6UF7L,164209.26,13.64,12/13/2021
LON2HCAX9QW6066,CUSPKGEBENO5N6G,147221.74,14.02,2/14/2022
LONBXSFLEEZJH7N,CUSN72BHON4WBAB,99909.88,7.45,7/6/2019
LONG8LQTK7M6I4K,CUSO2I52I339EOM,37081,9.95,4/14/2020
LONPWN7KFBCPF45,CUS2WOU0JSMSAJV,140138.81,11.8,4/22/2024
LONOGMUNEGRNPSV,CUSGEMMU32UL3UB,8872.15,6.79,3/31/2022
LONMT07JS3DE1GY,CUSR44ESH9BXLSO,164746.54,7.57,6/20/2021
LONAWCP0EZWF1QV,CUS0MUFVLTDHOSP,199634.24,8.65,6/15/2019
LON8NG5KU30ZO81,CUSWQMWSVC7I0PN,48615.12,8.51,3/2/2025
LON5P130AO02FOS,CUSVZR5OCX7ENTN,292681.87,5.01,4/16/2025
LONXHE4IHIJNSFP,CUS5ETXKHIDFRD3,37602.92,9.61,3/23/2025
LON5TERJWLC9WUS,CUST1WQDLF7VVGK,9334.59,12.55,12/17/2020
LON78EXNND7EOAW,CUS1C17C34OEZ37,90940.68,9.53,9/17/2020
LONW0AT6LVLVSQI,CUSA830BF9S2U8U,228901.7,3.98,4/2/2020
LONNYPZMDNBCEPQ,CUSTU1V6TUOM4CZ,11993.4,3.64,11/12/2024
LONFM5NHDEKR15A,CUSMBJQNP3I154E,48570.21,7.82,10/22/2020
LONRRYXNEKLVL1L,CUSSXTDHDX1BJT4,144810.07,8.01,6/2/2024
LON5B0MS6TM80QA,CUSVUQ419943UN6,227979.22,11.52,7/29/2025
LONTQI0FACUUAJR,CUSVGA5H2LYTGAD,13497.64,12.66,10/7/2024
LONG9P1Z3UWLW1W,CUS2EGS2QHQJT7D,172932.93,10.85,12/13/2022
LON7Q7DOUPR0741,CUS1XJOWGBK3KJO,151188.87,2.26,5/25/2019
LONBLPSGLSS67ZF,CUSOBNWZOIWT34K,98311.05,5.5,1/22/2024
LON41KC85PU3MDN,CUSH75CA2YBFAWS,47813.35,2.13,3/8/2024
LONORQSU0MIO8PJ,CUSVPC5BJ6SC3LF,120250.43,5.61,3/20/2020
LONCJ1SBIMZD4OH,CUSQHDX8V94IRM2,12891.8,3.55,5/3/2023
LONPVD0EW0P5FBO,CUSSQD4WKS965T0,43511.6,10.25,2/22/2020
LONTCQM7G9QRJ45,CUS42I6DRFRMQ8R,288331.07,7.64,11/4/2025
LONOM8FNVBZJ5R4,CUSSL6QRG78I6PG,84146.37,14.87,9/7/2019
LON5LFLVL0Y65ON,CUSUZ7NN09D2OHH,13362.12,6.78,9/17/2019
LONFW1FE9DMXQ4K,CUSCL8CU93DKZJ3,183842.68,7.08,11/24/2021
LONYMC2PWGSGM48,CUSL6314CQE4LOH,135386.65,11.67,4/1/2021
LONF8UL44BPR0XD,CUSE1A7OKJD4HUQ,185472.37,12.5,6/23/2020
LONVXVDNRZL064E,CUSMS8SHRDJKV58,245307.2,4.63,7/7/2023
LONOZ6LDDQ7185A,CUSOCKO7T0DTNTJ,115371.63,11.97,9/13/2019
LONWUGGZ26A4I1A,CUS2ZB6PMPU76K2,133130.16,14.7,2/27/2025
LON1CFRCUUB8ZEK,CUSQWXSICKYVIV2,194167.6,3.47,4/1/2024
LON803JL175AR1L,CUSKXCLUKZBMGFT,143359.79,13.13,11/5/2024
LON81Y3WDPXR7XT,CUSM508I7HPZGSB,222576.37,4.49,11/20/2019
LON80IPBWIQC13V,CUSU91JBXIDYY38,230133.87,7.86,6/2/2024
LONQAPI8EOPG5PA,CUSYF9CUD281PZ2,52846.98,3.17,9/25/2023
LONSKJ76XIL7RE0,CUS7BHO2UZHBC1C,44025.92,12.37,1/22/2022
LON8TFJHJ7TPGAX,CUS6SQVIJ5C71S5,204936.24,2.25,10/31/2020
LONJEKXKPZ1NX7L,CUSYTUTXAMIQO0P,296142.96,2.2,11/8/2024
LONNQLD79CLVU4O,CUS46W0978YFT5O,80351.97,2.99,10/22/2022
LON0LRIB16JCCVZ,CUSWDFDEH5SRT0Z,130303.54,2.51,4/1/2021
LON4KH9QJT43SOB,CUSGZKNJYDYQPFR,127509.56,3.17,1/18/2022
LONQ891J7TZ5BCC,CUS03AVKSFPEVLZ,234773.81,12.71,4/13/2023
LONVHY84TWNF5EG,CUS0LO1NI89YT6N,130347.35,12.32,7/7/2021
LON2ZKMUQAWXDBX,CUSTJ9XPF0A5ZDK,263224.76,12.49,6/2/2020
LON6ZG1U5YY7ME6,CUS88Y2S3V8803S,196894.83,4.17,5/10/2019
LONB97FVQF2B1MU,CUS8A1CC31UZZTL,270009.59,9.78,9/16/2019
LONF9OX1VSLYDC7,CUS8Y7TN8SELPQI,53988.74,5.62,6/28/2024
LON40241A2O5L8B,CUS1XW1HJMW5QB1,119190.84,6.5,5/21/2022
LON2AMCOGPXHPTM,CUSAWTIJ1VIEDDB,224493.79,9.34,12/19/2025
LONDT7EEV3V3I9V,CUSCQE7DKS9IO8N,210999.85,4.16,7/13/2021
LONG0GQSEJVY0CM,CUSJCJISCSBLNPI,87899.77,14.94,10/1/2021
LONOEN21UCUJP0J,CUS5JC4RQGS4SNZ,224310.75,14.86,4/16/2022
LOND7CJJBJPV0UI,CUSOS2CVLZBJU11,154400.08,12.05,3/23/2020
LONFA8IJPP79X4E,CUS4MDDZ6HKLBG4,125188.45,5.81,6/8/2020
LON4XSY3L8H9605,CUS2K3RGNBDB7MZ,277608.77,14.12,9/28/2020
LONT5UUUWD7XUF6,CUSP47W7TJ3EDGD,9501.99,13.19,11/28/2022
LONDENT18JFLH7O,CUSOJ37K6YGY80G,26800.37,10.16,1/5/2022
LON4TO3FIX3H1C2,CUS917QHGVYOZ3B,250925.75,8.65,12/16/2022
LON8CHBEHQUZQV9,CUSAG7TCBR0LQKV,142784.98,3.11,3/23/2025
LONNBNG5RMLYPLU,CUSG8ON3W9HX6I6,208546.59,8.59,7/23/2025
LONACUWLV0QQ54L,CUS0NJ2U10LUG8R,220763.52,3.62,2/26/2022
LONK9221PQAQUXM,CUSP78OZVPRA8SQ,23465.8,6.97,11/14/2021
LONO3HAHNGP1EMA,CUS91KXIL19HNV3,128206.95,5.86,11/29/2023
LONBSB9BZFU0KSC,CUS7AE9WHA79VA7,23198.09,14.15,4/17/2019
LONK2416BBAEZZG,CUSAW01CI0GE0H5,243207.33,5.5,10/16/2025
LON1A8PZR64F4JC,CUS24BR0VOQYKBS,116241.26,11.36,12/14/2020
LONC0DSJZ64D70G,CUSQW8F2G3INFCM,159759.01,13.2,11/7/2019
LON4ZPGMWEOR11L,CUSRM0QWDN8FLMS,164314.78,5.65,7/26/2025
LONW0417LRU6ZT8,CUS7U71M6AREPRA,189981.77,11.92,10/18/2019
LON6VFCEV5PIUVQ,CUSXX6QOITA0PMD,65741,10.8,3/19/2023
LON9UJO6YRWLUAV,CUSBBK7W7KS9SD1,270136.91,6.67,9/28/2019
LON2NXLEAFI55FV,CUS7UETCGLECNFF,222601.63,12.98,11/12/2022
LONX80XWH9HCL8F,CUSFO59HPXVBL4T,120101.87,5.41,4/18/2024
LONJDKAR5QXNFM5,CUS7DF1YWTWQ95Y,273516.56,4.54,5/29/2024
LONGH56THMBQHIW,CUSJBE4Z7L7V7M9,291298.57,14.27,8/28/2025
LONPCRVZ97N8NST,CUSFBD1R5NTF5QS,98213.33,5.19,2/25/2025
LONWSXLF9B3F8X8,CUS2JO99RUEUWGP,288311.94,6.97,9/14/2022
LONUYETG6YZJ3J1,CUSJ4QK0NI8IDFW,194323.46,2.35,12/6/2022
LON4YSDH1X35MQO,CUS3T66P79LZV36,160802.58,13.12,2/20/2020
LON7DDXP0TYEONU,CUSLW2FRYFY9AFA,175223.7,11.81,3/10/2020
LONL99EJYUUOMFF,CUS7ATC5B197U9H,183814.18,4.99,10/14/2021
LONCFJQFWO0CIG4,CUSBYHABPMJB13Z,223046.45,10.29,3/27/2019
LONN1BMOJNZL1NW,CUSTIBGY1DV3D87,134968.89,10.67,4/13/2022
LONQBR6ES3TF3AJ,CUSNDLRWNP2A63I,177974.15,6.51,2/6/2025
LONXZHNR4KV99QS,CUS82R0Z113GQW0,239652.31,2.82,3/17/2020
LONIWUOMAHJEZBU,CUS3DN6OXGMMLNY,150084.83,9.86,10/11/2025
LONV8GM7H1A7ECG,CUSEXDL5PON9UEI,31685.8,9.26,5/1/2019
LON6ZIIFGNYGH5N,CUSRGYKOFITNEM8,93869.18,4.18,6/28/2019
LON9YSJSWQUQI94,CUSE5A2JQ44PX9I,60789.33,3.77,4/10/2024
LONBBD9GVVB9D3Z,CUS6265N2NP3ARG,274040.69,11.99,11/4/2021
LONJLR3KE9L8O0S,CUSC5ET0SSY8DAO,134353.6,3.71,12/27/2020
LONLCZCU3QUPQJ1,CUS5P3C6DW0YFCM,172390.8,9.15,10/24/2023
LONR6TQ9TQ9CO3R,CUSNX1AOASD4SW5,114385.04,12.62,12/14/2021
LONLOJAIE4LB8KT,CUSI65FWBHDPK8U,154475.84,8.02,7/22/2023
LON78Z2NLLONMMV,CUSQCRS6JBVIMZ5,121244.17,2.9,7/31/2019
LONSVFR5GW39BX2,CUSOERSRIT3BTQ4,108009.75,12.2,4/19/2020
LONABCPTFNFCNJ0,CUSWY1ZPL7PSYQ2,32453.84,3.72,7/27/2023
LON2ODENG3AJE14,CUS3OOIEXKE8I26,103960.45,13.05,3/3/2021
LONC7GSYQSOH0Z6,CUSHUQ9HN397WSP,126042.7,3.43,10/23/2022
LONBMW6NUNRD361,CUSDCC4CMKCHUC4,182307.75,2.58,12/23/2021
LONNPTICAM3DGAA,CUSKRIZWGBCI6E5,62526.95,13.54,7/8/2022
LONOQMRSUWYO9DY,CUS74099HAQ8GII,224960.14,13.06,5/30/2020
LONR4QUWS3NLN5W,CUS514S62JOQHWZ,210141.08,8.2,9/26/2023
LOND6JZBUGGDUKG,CUSGID251CY019Q,47077.28,6.34,10/4/2019
LONEJJGYMTTK5I6,CUSO75CHY2S2EY7,118929.99,13.31,1/24/2024
LONTS0MIMDMKPDP,CUSZST2E5T4RB4H,149409.1,4.67,1/18/2021
LONQRAR606OZQUD,CUSWOUYNWO466OS,1511.11,6.88,11/13/2022
LONGTFFECYFMI3U,CUSWZRWUQ48O2C6,255896.01,2.87,2/17/2021
LONFI4WI1NF7ULI,CUS6V83AG7EHYMZ,237278.06,3.62,6/2/2021
LONO898E63MAQV9,CUSW0WM2HRFZIGX,255652.95,13.39,12/11/2024
LON2R58U772K46K,CUSTNNVGGIX07P8,195355.48,13.38,7/13/2024
LON8C61YFZBWSGB,CUSZUF88E6LUU4T,285039.72,14.77,7/6/2024
LONU8QE1Y6Z4TSC,CUSULIY8SXA08OM,52581.46,11.91,10/1/2024
LONPRJB60DLZ9LM,CUSVU22WH9PXJYF,103760.77,3.91,11/14/2025
LONC7ZXLJXLMSRP,CUSTGVLOFBM4DX5,120951.24,12.69,1/13/2021
LON1RCNJV29XINM,CUSD2R9LNR7CZAH,26471.31,12.39,3/11/2024
LONH3H6R2O3WQAA,CUS5MXR43G10JCE,156701.01,6.92,2/20/2021
LONBE5DZLPOJCBH,CUSEIXZBEC4QSG5,142676.96,11.75,7/4/2024
LON4V69O7E74CK6,CUSDJT3DM7UTNZP,138814.55,11.41,4/9/2025
LONW96OY1XQ9VBP,CUS0G40CGDX5TMW,289794.94,4.23,12/2/2020
LONP31A07JGBB1P,CUSDBNO0OAZ0Q7Q,78845.7,6.09,3/7/2023
LON1YY0OZVVZAGV,CUSGBOD7DAAQHZB,48454.51,10.15,12/9/2023
LON4PQUAU5M2GA2,CUS4JZAEH6AMRNR,131389.36,10.45,1/13/2025
LONR89QD9H0ASSL,CUSRRRA73P5OKJA,123255.94,9.75,5/26/2025
LON0L18ACWTUQV4,CUSQIEKWZ63SVXK,43588.84,7.41,7/2/2023
LONX7JN186Z9JCF,CUSX23XXZDP1R48,166954.69,11.5,4/4/2021
LONH3M0S2YNHIWR,CUSK7NC1ABYIF2Z,234594.23,13.5,7/8/2020
LONC1REDNBI4E1M,CUS4LEXE71V9WT6,260758.33,10.85,6/10/2025
LONHA5RY9JJEBK5,CUSB7H10IZWFCKZ,62308.99,7.2,7/7/2021
LONRJUZC89NS11T,CUSBY6RMH74A3C8,257783.8,6.22,8/30/2025
LON7YLD4YTHGKXM,CUSM9F4KP57GWOS,227850.61,4.95,5/11/2021
LON0XJVQASZK876,CUSVQOJ30PJL5VR,191522.04,11.22,2/28/2020
LONFHFZXSIIFJX8,CUS3EYSKU2JU1RT,235486.25,7.21,12/1/2024
LON3U6IYKTZXPZN,CUS958P4928TWHW,267529.7,8.77,11/7/2022
LONCVL5C2HV6DOB,CUSW2C3F52KQFCB,127487.76,14.63,10/10/2023
LOND5PHYDEQTGHV,CUSP3F099KMA39I,206240.61,10.42,3/19/2020
LONMU5RRFHUONY4,CUSFJQD9C7T71AC,146561.98,8.51,6/25/2021
LON5M1TXU0HPE4M,CUSJGTWNA1IW3W6,110770.1,12.53,7/23/2025
LONQJZMRPE748SF,CUS7JFGC2GOC5V6,243635.7,14.93,10/22/2022
LONBEZK8TS89OPP,CUSYRWAOHVOWIRM,204093.53,10.35,10/12/2019
LONCN1JNJ1GOYP9,CUS4CRREMMNOJUQ,149270.68,14.66,6/14/2023
LONK9UT3MGBSWJN,CUS6Y853Z9LU9NC,202688.31,13.93,2/14/2022
LONZMWURBWUTH98,CUSR3R3GKRNRUP2,190922.11,5.17,7/14/2022
LOND4UVVKH2LZCZ,CUSNTE32ZPIRU9G,211544.59,13.24,4/20/2020
LONNNU3WHSQNZRU,CUS2DBZ5WB8H7CY,269627.14,8.35,7/4/2023
LON9P9TO6ONQIV4,CUSKPBNHJ2M96TF,161623.94,6.31,8/18/2019
LON6PM1MLPUDHWO,CUS62W5UAB60J5E,145434.11,11.07,9/16/2023
LONO5GNWSG272WB,CUSTIBGY1DV3D87,207783.53,7.76,12/14/2024
LONA1UM1YEYIW0L,CUSNJERVI5QZW1E,289501.1,5.68,2/8/2025
LONQ9DU3Y5CBBQI,CUSVUXS9VJ3P25G,226043.98,10.2,5/5/2022
LON4J60PX9SLE7J,CUSNT64EBQR1NM0,275981.39,2.57,2/15/2019
LONRUVONL1N167M,CUSHR62WLYMCX7R,10785.65,8.94,7/4/2020
LONUNN7E7AQ7LZF,CUSJ0I6MQAMJTMD,270898.49,11.88,11/26/2020
LON5EPLG59QABX3,CUSMVOP8VB7GB5K,37882.63,12.72,9/2/2024
LON92U06OPXNJP3,CUSONRJWB43V61S,68110.19,9.37,6/19/2023
LON658LDP1P3HKT,CUSSIX4OKQALQLW,95804.12,3.38,3/8/2023
LON5QUZMNC8S1WD,CUSA173BKGGBQIB,54738.45,14.97,12/16/2025
LONQC9FBW84CQ1O,CUS9E7XBXZ2KBFT,233426.94,7.67,4/23/2019
LONG521P3QBL8W2,CUS4MDA54BPCAXT,154095.36,2.65,4/5/2019
LONOTD7363PLUUA,CUSH4SEUNKDHF7J,125479.59,4.85,11/13/2020
LONRHCI51NE1NH9,CUSLHJSAIHHHFPF,98214.22,11.07,5/27/2023
LONDUL5VGK7V667,CUS9RZQKVMX43V7,37732.43,14.33,12/14/2025
LONQDC9REX4JFZZ,CUSG7V2MUOU7MFY,90438.42,2.32,8/18/2025
LON8EY620PFPZ34,CUSPCJPUF7VXQOD,177475.29,6.7,10/2/2024
LON0M9RI55IC4WD,CUSJ9G71MPGV5NE,166472.97,6.84,9/25/2022
LONRIDSRKTXXMC8,CUSTJA622DCFF3T,241979.53,8.39,2/27/2022
LONR41O12GWA9AF,CUSR9XFPXVP1E31,12060.9,10.59,11/11/2025
LONRGWPLO7Y8S4J,CUSF3E5FOMUJUQZ,121616.6,13.62,5/16/2019
LONEZUYVKKTXKKT,CUSALE0P383YS64,29774.14,2.83,1/26/2022
LONZTACABVK63MV,CUSTIF5AKZ006AY,167916.65,13.88,7/9/2019
LON66465U287GQH,CUSIUGB1X70X54M,183215.84,4.94,10/4/2023
LONB6MR0MVPWJR7,CUS111TYBI9EW6W,133434.1,7,10/11/2025
LONVSZWAE20JCP4,CUS1B1VN8NQE5W1,77794.37,12.24,12/9/2019
LONQWV83P6E8CL4,CUSAQTS809XRXTD,171971.61,5.29,3/8/2025
LON6AFC2BYT3QOR,CUS2KLOT81XQTPB,267774.72,8.85,3/7/2023
LONVEDN8YT7Z0BO,CUS2E3LAUKEACN0,185959.29,4.35,2/5/2022
LONNULZARXIJERD,CUSG5VPFUH7ML9S,24555.78,4.63,7/2/2023
LONMMS9TEEUUZJN,CUSR28QYTDZXEAB,282464.07,8.62,6/20/2019
LON6FS5HFTD016B,CUSWGCXRXGT8D9E,85471.97,5.47,3/17/2020
LONDZ8HI9IR06UC,CUSSC0SHJ817H8B,90720,9.84,9/5/2019
LONOK7MUNC6S1ND,CUSQGU5IO8VE6UX,197339.52,3.4,8/17/2019
LONW85GF0YLNHY9,CUSIUH8VYOMTXNS,7502.25,13.2,1/2/2023
LONNTBO1KMP0F7P,CUS57YUNEY725XT,12246.86,5.08,5/13/2021
LONJ3CAZRVXWP18,CUSNV93JG8GN7GR,292676.09,5.16,10/20/2021
LON0YLTGZMGAJKP,CUS2EJ1F5A94S4H,176542.25,8.49,5/18/2023
LON6ZB5DZ7PIJRV,CUSATSL1UWS5LN1,234680.54,10.28,3/17/2020
LONBSUQ82EOQBCT,CUSACUUS1TJIRU9,117937.77,5.37,4/10/2023
LONRQBXLEKY5DWS,CUSNG8COGMG2L8O,182991.71,14.12,6/19/2024
LON8AO6IKBSJEOK,CUS2EHPBNFSMENK,74302.26,11.06,11/10/2020
LON8COHZ0V2HZ4X,CUSDN7W6SAD3V9C,46842.06,3.23,8/12/2025
LONG9V21H40IRRL,CUS0WV7A6DOTRV1,79046.2,13.3,12/4/2025
LONQ76HG5X85WSU,CUSMMXZNTLO61RJ,72304.77,4.84,6/18/2019
LONLT2V9TC7L7T3,CUSZFHBA9AABKE8,106156.28,2.56,5/6/2024
